Chemical-Formula,Bulk-Modulus-GPa
Ag,100.7
Ag2O,84
AgCl,47
Al,65.3
Al,72.16
Al,73
Al2O3,252
AlAs,77
AlN,201
AlP,86
AlSb,58
BaF2,55.5
BaO,69
BAs,148
BC2N,403
Be,127
BeO,244
BeS,105
BeSe,92
BeTe,67
BN,369
BP,173
BSb,116
C,442
Si3N4,300
C3N4,451
Ca,15.2
CaF2,84
CaO,114
CdS,62
CdSe,53
CdTe,42
CeN,156
CeO2,220
CoO,183.3
CsBr,15.4
CsCl,17.6
CsF,19.3
CsI,12.5
Cu,137.4
Cu,130.9
Cu2O,112
Dy2O3,150
Er2O3,140
EuO,92
Fe2O3,207
Fe3O4,187
FeO,174
GaAs,74.8
GaN,190
GaP,89
GaSb,57
Ge,77.2
GeO2,258
HeSe,49
Hf,108
HgTe,44
Ho2O3,134
InAs,60
InN,137
InP,71
InSb,47
K,3.18
KBr,13.9
KCl,16.5
KF,28.7
KI,11.1
La,24.8
Li,11.57
Li2O,88
LiBr,26
LiCl,32.9
LiF,76.4
LiI,19.3
MgAl2O4,202
MgO,163
MgS,80
MnO,147
Mo,272.5
Na,6.81
NaBr,19.6
NaCl,23.9
NaF,47.1
NaI,14.9
Nb,169
Nb,170.2
NiO,138.3
NiTi,140.3
Pb,44.7
PbS,50
PbSe,54.1
PbTe,38
Pd,180.8
PrO2,187
Pt,282.1
Rb,3.14
RbBr,12
RbCl,14
RbF,24.1
RbI,9.6
Rh,270.5
Sc2O3,197
Si,98
SiC,211
SiO2,314
Sn,55
SnO2,205
Sr,11.61
SrF2,71.3
SrO,88
SrTiO3,174
Ta,192
Ta,191
Ti,106
TiO2,224
Tm2O3,130
V,161.9
W,309.4
Y2O3,168
BC2N,403
ZnO,139
ZnS,77
ZnSe,62
ZnTe,51
Zr,95
ZrO2,235
Be,130
Mg,45
Ca,17
Ti,110
Cr,160
Fe,170
Co,180
Ni,180
Zn,70
Y,41
La,28
Ce,22
Nd,32
Gd,38
Tb,38.7
Nb,170
Pd,180
Au,220
